"[""I find no peace, and all my war is done."", ""I fear and hope. I burn and freeze like ice."", ""I fly above the wind, yet can I not arise;"", ""And nought I have, and all the world I season."", ""That loseth nor locketh holdeth me in prison"", ""And holdeth me notyet can I scape no wise"", ""Nor letteth me live nor die at my device,"", ""And yet of death it giveth me occasion."", ""Without eyen I see, and without tongue I plain."", ""I desire to perish, and yet I ask health."", ""I love another, and thus I hate myself."", ""I feed me in sorrow and laugh in all my pain;"", ""Likewise displeaseth me both life and death,"", ""And my delight is causer of this strife.""]",metrical
"[""I dunno yer highfalutin' words, but here's th' way it seems"", ""When I'm peekin' out th' winder o' my little House o Dreams;"", ""I've been lookin' 'roun' this big ol' world, as bizzy as a hive,"", ""An' I want t' tell ye, neighbor mine, it's good t' be alive."", ""I've ben settin' here, a-thinkin' hard, an' say, it seems t' me"", ""That this big ol' world is jest about as good as it kin be,"", ""With its starvin' little babies, an' its battles, an' its strikes,"", ""An' its profiteers, an' hold-up menth' dawggone little tykes!"", ""An' its hungry men that fought fer us, that nobody employs."", ""An' I think, \""Why, shucks, we're jest a lot o' grown-up little boys!\"""", ""An' I settle back, an' light my pipe, an' reach fer Mother's hand,"", ""An' I wouldn't swap my peace o' mind fer nothin' in the land;"", ""Fer this world uv ours, that jest was made fer folks like me an' you"", ""Is a purty good ol' place t' livesay, neighbor, ain't it true?""]",metrical
"[""This winter's weather it waxeth cold,"", ""And frost it freezeth on every hill,"", ""And Boreas blows his blast so bold"", ""That all our cattle are like to spill."", ""Bell, my wife, she loves no strife;"", ""She said unto me quietlye,"", ""Rise up, and save cow Crumbock's life!"", ""Man, put thine old cloak about thee!"", ""He. O Bell my wife, why dost thou flyte?"", ""Thou kens my cloak is very thin:"", ""It is so bare and over worn,"", ""A cricke thereon cannot renn."", ""Then I'll no longer borrow nor lend;"", ""For once I'll new apparell'd be;"", ""To-morrow I'll to town and spend;"", ""For I'll have a new cloak about me."", ""She. Cow Crumbock is a very good cow:"", ""She has been always true to the pail;"", ""She has helped us to butter and cheese, I trow,"", ""And other things she will not fail."", ""I would be loth to see her pine."", ""Good husband, counsel take of me:"", ""It is not for us to go so fine"", ""Man, take thine old cloak about thee!"", ""He. My cloak it was a very good cloak,"", ""It hath been always true to the wear;"", ""But now it is not worth a groat:"", ""I have had it four and forty year'."", ""Sometime it was of cloth in grain:"", ""'Tis now but a sigh clout, as you may see:"", ""It will neither hold out wind nor rain;"", ""And I'll have a new cloak about me."", ""She. It is four and forty years ago"", ""Sine the one of us the other did ken;"", ""And we have had, betwixt us two,"", ""Of children either nine or ten:"", ""We have brought them up to women and men:"", ""In the fear of God I trow they be."", ""And why wilt thou thyself misken?"", ""Man, take thine old cloak about thee!"", ""He. O Bell my wife, why dost thou flyte?"", ""Now is now, and then was then:"", ""Seek now all the world throughout,"", ""Thou kens not clowns from gentlemen:"", ""They are clad in black, green, yellow and blue,"", ""So far above their own degree."", ""Once in my life I'll take a view;"", ""For I'll have a new cloak about me."", ""She. King Stephen was a worthy peer;"", ""His breeches cost him but a crown;"", ""He held them sixpence all too dear,"", ""Therefore he called the tailor 'lown.'"", ""He was a king and wore the crown,"", ""And thou'se but of a low degree:"", ""It's pride that puts this country down:"", ""Man, take thy old cloak about thee!"", ""He. Bell my wife, she loves not strife,"", ""Yet she will lead me, if she can;"", ""And to maintain an easy life"", ""I oft must yield, though I'm good-man."", ""It's not for a man with a woman to threap,"", ""Unless he first give o'er the plea:"", ""As we began, so will we keep,"", ""And I'll take my old cloak about me.""]",metrical
"[""Dear old equivocal and closest friend,"", ""Grand Vizier to a weak bewildered king,"", ""Now we approach The Ecclesiastean Age"", ""Where the heart is like to go off inside your chest"", ""Like a party favor, or the brain blow a fuse"", ""And the comic-book light-bulb of Idea black out"", ""Forever, the idiot balloon of speech"", ""Go blank, and we shall know, if it be knowing,"", ""The world as it was before language once again;"", ""Mighty Fortress, maybe already mined"", ""And readying to blow up grievances"", ""About the lifetime of your servitude,"", ""The body of this death one talkative saint"", ""Wanted to be delivered of (not yet!),"", ""Aggressively asserting your ancient right"", ""To our humiliation by the bowel"", ""Or the rough justice of the elderly lechers"", ""Retiring from this incontinence to that;"", ""Dark horse, its you weve put the money on"", ""Regardless, the parody and satire and"", ""The nevertheless forgiveness of the soul"", ""Or mind, self, spirit, will or whatever else"", ""The ever-unknowable unknown is calling itself"", ""This time aroundshall we renew our vows?"", ""How should we know by now how we might do"", ""Divorced? Homely animal, in sickness and health,"", ""For the duration; buddy, you know the drill.""]",metrical
"[""I"", ""Again the native hour lets down the locks"", ""Uncombed and black, but gray the bobbing beard;"", ""Ten years ago His eyes, fierce shuttlecocks,"", ""Pierced the close net of what I failed: I feared"", ""The belly-cold, the grave-clout, that betrayed"", ""Me dithering in the drift of cordial seas;"", ""Ten years are time enough to be dismayed"", ""By mummy Christ, head crammed between his knees."", ""Suppose I take an arrogant bomber, stroke"", ""By stroke, up to the frazzled sun to hear"", ""Sun-ghostlings whisper: Yes, the capital yoke"", ""Remove it and theres not a ghost to fear"", ""This crucial day, whose decapitate joke"", ""Languidly winds into the inner ear."", ""II"", ""The days at end and theres nowhere to go,"", ""Draw to the fire, even this fire is dying;"", ""Get up and once again politely lying"", ""Invite the ladies toward the mistletoe"", ""With greedy eyes that stare like an old crow."", ""How pleasantly the holly wreaths did hang"", ""And how stuffed Santa did his reindeer clang"", ""Above the golden oaken mantel, years ago!"", ""Then hang this picture for a calendar,"", ""As sheep for goat, and pray most fixedly"", ""For the cold martial progress of your star,"", ""With thoughts of commerce and society,"", ""Well-milked Chinese, Negroes who cannot sing,"", ""The Huns gelded and feeding in a ring."", ""III"", ""Give me this day a faith not personal"", ""As follows: The American people fully armed"", ""With assurance policies, righteous and harmed,"", ""Battle the world of which theyre not at all."", ""That lying boy of ten who stood in the hall,"", ""His hat in hand (thus by his father charmed:"", ""You may be President), was not alarmed"", ""Nor even left uneasy by his fall."", ""Nobody said that he could be a plumber,"", ""Carpenter, clerk, bus-driver, bombardier;"", ""Let little boys go into violent slumber,"", ""Aegean squall and squalor where their fear"", ""Is of an enemy in remote oceans"", ""Unstalked by Christ: these are the better notions."", ""IV"", ""Gay citizen, myself, and thoughtful friend,"", ""Your ghosts are Platos Christians in the cave."", ""Unfix your necks, turn to the door; the nave"", ""Gives back the cheated and light dividend"", ""So long sequestered; now, new-rich, youll spend"", ""Flesh for reality inside a stone"", ""Whose light obstruction, like a gossamer bone,"", ""Dead or still living, will not break or bend."", ""Thus light, your flesh made pale and sinister"", ""And put off like a dog thats had his day,"", ""You will be Platos kept philosopher,"", ""Albino man bleached from the mortal clay,"", ""Mild-mannered, gifted in your masters ease"", ""While the sun squats upon the waveless seas.""]",metrical
"[""The barroom mirror lit up with our wives"", ""has faded to a loaded-to-the-gills"", ""Japanese subcompact, little lives"", ""asleep behind us, heading for the hills"", ""in utter darkness through invisible"", ""countryside we know by heart by light;"", ""but woods that are humane and hospitable"", ""often turn eerie on a moonless night."", ""Our talk is quiet: the weeks triumphs, failings,"", ""gossip, memoriesbut largely fears."", ""In our brief repertoire of poses ailings"", ""primary, and more so with the years"", ""now every step seems haunted by the future,"", ""not only ours, but all that they will face:"", ""a stricter world, with scarceness for a teacher,"", ""bad air, bad water, no untrammeled space"", ""or so it seems to us, after the Fall,"", ""but for the young the world is always new."", ""Maybe thats what dates us worst of all"", ""and saves them: What well miss they never knew."", ""Were old enough now to be old enough,"", ""to know what loss isnot just hair and breath;"", ""each has eyeballed reality by now:"", ""a rift, a failure, or a major death."", ""They landed on us; we were not consulted,"", ""although our darkest yearnings arent so deep."", ""Lets tick off the short wish list of adulthood:"", ""sleep, honor, sleep, love, riches, sleep, and sleep . . ."", ""and camaraderie, that warms the blood,"", ""the mildest, most forgiving form of love."", ""In an uncertain world a certain good"", ""is one wholl laugh off what youre leery of."", ""Thats why were out here, racing with the clock"", ""through cold and darkness: so that, glass in hand,"", ""well face our half-life, padded for the shock"", ""by a few old souls who understand."", ""Now the odometer, uncompromising,"", ""shows all its nines tails hanging in the air."", ""Now an entire row of moons is rising,"", ""rising, rising, risenwe are there:"", ""Total Maturity. The trick is how"", ""to amortize remorse, desire, and dread."", ""Eyes ahead, companions: Life is Now."", ""The serious years are opening ahead.""]",metrical
"[""Once Phidias stood, with hammer in his hand,"", ""Carving Minerva from the breathing stone,"", ""Tracing with love the winding of a hair,"", ""A single hair upon her head, whereon"", ""A youth of Athens cried, O Phidias,"", ""Why do you dally on a hidden hair?"", ""When she is lifted to the lofty front"", ""Of the Parthenon, no human eye will see."", ""And Phidias thundered on him: Silence, slave:"", ""Men will not see, but the Immortals will!""]",metrical
"[""Whoso list to hunt, I know where is an hind,"", ""But as for me, helas, I may no more."", ""The vain travail hath wearied me so sore,"", ""I am of them that farthest cometh behind."", ""Yet may I by no means my wearied mind"", ""Draw from the deer, but as she fleeth afore"", ""Fainting I follow. I leave off therefore,"", ""Sithens in a net I seek to hold the wind."", ""Who list her hunt, I put him out of doubt,"", ""As well as I may spend his time in vain."", ""And graven with diamonds in letters plain"", ""There is written, her fair neck round about:"", ""Noli me tangere, for Caesar's I am,"", ""And wild for to hold, though I seem tame.""]",metrical
"[""O heart of hearts, the chalice of love's fire,"", ""Hid round with flowers and all the bounty of bloom;"", ""O wonderful and perfect heart, for whom"", ""The lyrist liberty made life a lyre;"", ""O heavenly heart, at whose most dear desire"", ""Dead love, living and singing, cleft his tomb,"", ""And with him risen and regent in death's room"", ""All day thy choral pulses rang full choir;"", ""O heart whose beating blood was running song,"", ""O sole thing sweeter than thine own songs were,"", ""Help us for thy free love's sake to be free,"", ""True for thy truth's sake, for thy strength's sake strong,"", ""Till very liberty make clean and fair"", ""The nursing earth as the sepulchral sea.""]",metrical
"[""Of thee, kind boy, I ask no red and white,"", ""To make up my delight;"", ""No odd becoming graces,"", ""Black eyes, or little know-not-whats in faces;"", ""Make me but mad enough, give me good store"", ""Of love for her I count;"", ""I ask no more,"", ""Tis love in love that makes the sport."", ""Theres no such thing as that we beauty call,"", ""It is mere cozenage all;"", ""For though some, long ago,"", ""Liked certain colors mingled so and so,"", ""That doth not tie me now from choosing new;"", ""If I a fancy take"", ""To black and blue,"", ""That fancy doth it beauty make."", ""Tis not the meat, but tis the appetite"", ""Makes eating a delight;"", ""And if I like one dish"", ""More than another, that a pheasant is;"", ""What in our watches, that in us is found:"", ""So to the height and nick"", ""We up be wound,"", ""No matter by what hand or trick.""]",metrical
